variable,type,var,f_1,f_2,f_3,f_4,metric,export_1,export_2
ex_nloy_nkc_ocbb_final,1,Occasional Big Basket,Existing Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_1,v168,Occasional Big Basket_Existing Customer_Non Loyalist_Non Kohl's Charge_final
ex_nloy_nkc_odis_final,1,One and Done In-Store,Existing Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_1,v169,One and Done In-Store_Existing Customer_Non Loyalist_Non Kohl's Charge_final
ex_nloy_nkc_odol_final,1,One and Done Online,Existing Customer,Non Loyalist,Non Kohl's Charge,One and Done Online,m_1,v170,One and Done Online_Existing Customer_Non Loyalist_Non Kohl's Charge_final
ex_nloy_kc_other_final,1,Sales - Other,Existing Customer,Non Loyalist,Kohl's Charge,Sales - Other,m_1,v171,Sales - Other_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_nloy_kc_dcp_final,1,Discount Cherry Picker,Existing Customer,Non Loyalist,Kohl's Charge,Discount Cherry Picker,m_1,v172,Discount Cherry Picker_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_nloy_kc_fsloy_final,1,Kohl's Full Store Loyalist,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_1,v173,Kohl's Full Store Loyalist_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_nloy_kc_iseth_final,1,Kohl's In-Store Enthusiast,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_1,v174,Kohl's In-Store Enthusiast_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_nloy_kc_kids_final,1,Kohl's Kids,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Kids,m_1,v175,Kohl's Kids_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_nloy_kc_mens_final,1,Kohl's Mens,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Mens,m_1,v176,Kohl's Mens_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_nloy_kc_oleth_final,1,Kohl's Online Enthusiast,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_1,v177,Kohl's Online Enthusiast_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_nloy_kc_missex_final,1,Misses Exclusive,Existing Customer,Non Loyalist,Kohl's Charge,Misses Exclusive,m_1,v178,Misses Exclusive_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_nloy_kc_ocbb_final,1,Occasional Big Basket,Existing Customer,Non Loyalist,Kohl's Charge,Occasional Big Basket,m_1,v179,Occasional Big Basket_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_nloy_kc_odis_final,1,One and Done In-Store,Existing Customer,Non Loyalist,Kohl's Charge,One and Done In-Store,m_1,v180,One and Done In-Store_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_nloy_kc_odol_final,1,One and Done Online,Existing Customer,Non Loyalist,Kohl's Charge,One and Done Online,m_1,v181,One and Done Online_Existing Customer_Non Loyalist_Kohl's Charge_final
ex_loy_nkc_other_final,1,Sales - Other,Existing Customer,Loyalist,Non Kohl's Charge,Sales - Other,m_1,v182,Sales - Other_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_nkc_dcp_final,1,Discount Cherry Picker,Existing Customer,Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_1,v183,Discount Cherry Picker_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_nkc_fsloy_final,1,Kohl's Full Store Loyalist,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_1,v184,Kohl's Full Store Loyalist_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_nkc_iseth_final,1,Kohl's In-Store Enthusiast,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_1,v185,Kohl's In-Store Enthusiast_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_nkc_kids_final,1,Kohl's Kids,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Kids,m_1,v186,Kohl's Kids_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_nkc_mens_final,1,Kohl's Mens,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Mens,m_1,v187,Kohl's Mens_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_nkc_oleth_final,1,Kohl's Online Enthusiast,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_1,v188,Kohl's Online Enthusiast_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_nkc_missex_final,1,Misses Exclusive,Existing Customer,Loyalist,Non Kohl's Charge,Misses Exclusive,m_1,v189,Misses Exclusive_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_nkc_ocbb_final,1,Occasional Big Basket,Existing Customer,Loyalist,Non Kohl's Charge,Occasional Big Basket,m_1,v190,Occasional Big Basket_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_nkc_odis_final,1,One and Done In-Store,Existing Customer,Loyalist,Non Kohl's Charge,One and Done In-Store,m_1,v191,One and Done In-Store_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_nkc_odol_final,1,One and Done Online,Existing Customer,Loyalist,Non Kohl's Charge,One and Done Online,m_1,v192,One and Done Online_Existing Customer_Loyalist_Non Kohl's Charge_final
ex_loy_kc_other_final,1,Sales - Other,Existing Customer,Loyalist,Kohl's Charge,Sales - Other,m_1,v193,Sales - Other_Existing Customer_Loyalist_Kohl's Charge_final
ex_loy_kc_dcp_final,1,Discount Cherry Picker,Existing Customer,Loyalist,Kohl's Charge,Discount Cherry Picker,m_1,v194,Discount Cherry Picker_Existing Customer_Loyalist_Kohl's Charge_final
ex_loy_kc_fsloy_final,1,Kohl's Full Store Loyalist,Existing Customer,Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_1,v195,Kohl's Full Store Loyalist_Existing Customer_Loyalist_Kohl's Charge_final
ex_loy_kc_iseth_final,1,Kohl's In-Store Enthusiast,Existing Customer,Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_1,v196,Kohl's In-Store Enthusiast_Existing Customer_Loyalist_Kohl's Charge_final
ex_loy_kc_kids_final,1,Kohl's Kids,Existing Customer,Loyalist,Kohl's Charge,Kohl's Kids,m_1,v197,Kohl's Kids_Existing Customer_Loyalist_Kohl's Charge_final
ex_loy_kc_mens_final,1,Kohl's Mens,Existing Customer,Loyalist,Kohl's Charge,Kohl's Mens,m_1,v198,Kohl's Mens_Existing Customer_Loyalist_Kohl's Charge_final
ex_loy_kc_oleth_final,1,Kohl's Online Enthusiast,Existing Customer,Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_1,v199,Kohl's Online Enthusiast_Existing Customer_Loyalist_Kohl's Charge_final
ex_loy_kc_missex_final,1,Misses Exclusive,Existing Customer,Loyalist,Kohl's Charge,Misses Exclusive,m_1,v200,Misses Exclusive_Existing Customer_Loyalist_Kohl's Charge_final
ex_loy_kc_ocbb_final,1,Occasional Big Basket,Existing Customer,Loyalist,Kohl's Charge,Occasional Big Basket,m_1,v201,Occasional Big Basket_Existing Customer_Loyalist_Kohl's Charge_final
ex_loy_kc_odis_final,1,One and Done In-Store,Existing Customer,Loyalist,Kohl's Charge,One and Done In-Store,m_1,v202,One and Done In-Store_Existing Customer_Loyalist_Kohl's Charge_final
ex_loy_kc_odol_final,1,One and Done Online,Existing Customer,Loyalist,Kohl's Charge,One and Done Online,m_1,v203,One and Done Online_Existing Customer_Loyalist_Kohl's Charge_final
new_nloy_nkc_other_final,1,Sales - Other,New Customer,Non Loyalist,Non Kohl's Charge,Sales - Other,m_1,v204,Sales - Other_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_nkc_dcp_final,1,Discount Cherry Picker,New Customer,Non Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_1,v205,Discount Cherry Picker_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_nkc_fsloy_final,1,Kohl's Full Store Loyalist,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_1,v206,Kohl's Full Store Loyalist_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_nkc_iseth_final,1,Kohl's In-Store Enthusiast,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_1,v207,Kohl's In-Store Enthusiast_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_nkc_kids_final,1,Kohl's Kids,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Kids,m_1,v208,Kohl's Kids_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_nkc_mens_final,1,Kohl's Mens,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Mens,m_1,v209,Kohl's Mens_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_nkc_oleth_final,1,Kohl's Online Enthusiast,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_1,v210,Kohl's Online Enthusiast_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_nkc_missex_final,1,Misses Exclusive,New Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_1,v211,Misses Exclusive_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_nkc_ocbb_final,1,Occasional Big Basket,New Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_1,v212,Occasional Big Basket_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_nkc_odis_final,1,One and Done In-Store,New Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_1,v213,One and Done In-Store_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_nkc_odol_final,1,One and Done Online,New Customer,Non Loyalist,Non Kohl's Charge,One and Done Online,m_1,v214,One and Done Online_New Customer_Non Loyalist_Non Kohl's Charge_final
new_nloy_kc_other_final,1,Sales - Other,New Customer,Non Loyalist,Kohl's Charge,Sales - Other,m_1,v215,Sales - Other_New Customer_Non Loyalist_Kohl's Charge_final
new_nloy_kc_dcp_final,1,Discount Cherry Picker,New Customer,Non Loyalist,Kohl's Charge,Discount Cherry Picker,m_1,v216,Discount Cherry Picker_New Customer_Non Loyalist_Kohl's Charge_final
new_nloy_kc_fsloy_final,1,Kohl's Full Store Loyalist,New Customer,Non Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_1,v217,Kohl's Full Store Loyalist_New Customer_Non Loyalist_Kohl's Charge_final
new_nloy_kc_iseth_final,1,Kohl's In-Store Enthusiast,New Customer,Non Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_1,v218,Kohl's In-Store Enthusiast_New Customer_Non Loyalist_Kohl's Charge_final
new_nloy_kc_kids_final,1,Kohl's Kids,New Customer,Non Loyalist,Kohl's Charge,Kohl's Kids,m_1,v219,Kohl's Kids_New Customer_Non Loyalist_Kohl's Charge_final
new_nloy_kc_mens_final,1,Kohl's Mens,New Customer,Non Loyalist,Kohl's Charge,Kohl's Mens,m_1,v220,Kohl's Mens_New Customer_Non Loyalist_Kohl's Charge_final
new_nloy_kc_oleth_final,1,Kohl's Online Enthusiast,New Customer,Non Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_1,v221,Kohl's Online Enthusiast_New Customer_Non Loyalist_Kohl's Charge_final
new_nloy_kc_missex_final,1,Misses Exclusive,New Customer,Non Loyalist,Kohl's Charge,Misses Exclusive,m_1,v222,Misses Exclusive_New Customer_Non Loyalist_Kohl's Charge_final
new_nloy_kc_ocbb_final,1,Occasional Big Basket,New Customer,Non Loyalist,Kohl's Charge,Occasional Big Basket,m_1,v223,Occasional Big Basket_New Customer_Non Loyalist_Kohl's Charge_final
new_nloy_kc_odis_final,1,One and Done In-Store,New Customer,Non Loyalist,Kohl's Charge,One and Done In-Store,m_1,v224,One and Done In-Store_New Customer_Non Loyalist_Kohl's Charge_final
new_nloy_kc_odol_final,1,One and Done Online,New Customer,Non Loyalist,Kohl's Charge,One and Done Online,m_1,v225,One and Done Online_New Customer_Non Loyalist_Kohl's Charge_final
new_loy_nkc_other_final,1,Sales - Other,New Customer,Loyalist,Non Kohl's Charge,Sales - Other,m_1,v226,Sales - Other_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_nkc_dcp_final,1,Discount Cherry Picker,New Customer,Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_1,v227,Discount Cherry Picker_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_nkc_fsloy_final,1,Kohl's Full Store Loyalist,New Customer,Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_1,v228,Kohl's Full Store Loyalist_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_nkc_iseth_final,1,Kohl's In-Store Enthusiast,New Customer,Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_1,v229,Kohl's In-Store Enthusiast_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_nkc_kids_final,1,Kohl's Kids,New Customer,Loyalist,Non Kohl's Charge,Kohl's Kids,m_1,v230,Kohl's Kids_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_nkc_mens_final,1,Kohl's Mens,New Customer,Loyalist,Non Kohl's Charge,Kohl's Mens,m_1,v231,Kohl's Mens_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_nkc_oleth_final,1,Kohl's Online Enthusiast,New Customer,Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_1,v232,Kohl's Online Enthusiast_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_nkc_missex_final,1,Misses Exclusive,New Customer,Loyalist,Non Kohl's Charge,Misses Exclusive,m_1,v233,Misses Exclusive_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_nkc_ocbb_final,1,Occasional Big Basket,New Customer,Loyalist,Non Kohl's Charge,Occasional Big Basket,m_1,v234,Occasional Big Basket_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_nkc_odis_final,1,One and Done In-Store,New Customer,Loyalist,Non Kohl's Charge,One and Done In-Store,m_1,v235,One and Done In-Store_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_nkc_odol_final,1,One and Done Online,New Customer,Loyalist,Non Kohl's Charge,One and Done Online,m_1,v236,One and Done Online_New Customer_Loyalist_Non Kohl's Charge_final
new_loy_kc_other_final,1,Sales - Other,New Customer,Loyalist,Kohl's Charge,Sales - Other,m_1,v237,Sales - Other_New Customer_Loyalist_Kohl's Charge_final
new_loy_kc_dcp_final,1,Discount Cherry Picker,New Customer,Loyalist,Kohl's Charge,Discount Cherry Picker,m_1,v238,Discount Cherry Picker_New Customer_Loyalist_Kohl's Charge_final
new_loy_kc_fsloy_final,1,Kohl's Full Store Loyalist,New Customer,Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_1,v239,Kohl's Full Store Loyalist_New Customer_Loyalist_Kohl's Charge_final
new_loy_kc_iseth_final,1,Kohl's In-Store Enthusiast,New Customer,Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_1,v240,Kohl's In-Store Enthusiast_New Customer_Loyalist_Kohl's Charge_final
new_loy_kc_kids_final,1,Kohl's Kids,New Customer,Loyalist,Kohl's Charge,Kohl's Kids,m_1,v241,Kohl's Kids_New Customer_Loyalist_Kohl's Charge_final
new_loy_kc_mens_final,1,Kohl's Mens,New Customer,Loyalist,Kohl's Charge,Kohl's Mens,m_1,v242,Kohl's Mens_New Customer_Loyalist_Kohl's Charge_final
new_loy_kc_oleth_final,1,Kohl's Online Enthusiast,New Customer,Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_1,v243,Kohl's Online Enthusiast_New Customer_Loyalist_Kohl's Charge_final
new_loy_kc_missex_final,1,Misses Exclusive,New Customer,Loyalist,Kohl's Charge,Misses Exclusive,m_1,v244,Misses Exclusive_New Customer_Loyalist_Kohl's Charge_final
new_loy_kc_ocbb_final,1,Occasional Big Basket,New Customer,Loyalist,Kohl's Charge,Occasional Big Basket,m_1,v245,Occasional Big Basket_New Customer_Loyalist_Kohl's Charge_final
new_loy_kc_odis_final,1,One and Done In-Store,New Customer,Loyalist,Kohl's Charge,One and Done In-Store,m_1,v246,One and Done In-Store_New Customer_Loyalist_Kohl's Charge_final
new_loy_kc_odol_final,1,One and Done Online,New Customer,Loyalist,Kohl's Charge,One and Done Online,m_1,v247,One and Done Online_New Customer_Loyalist_Kohl's Charge_final
ex_nloy_nkc_other_units,1,Sales - Other,Existing Customer,Non Loyalist,Non Kohl's Charge,Sales - Other,m_3,v248,Sales - Other_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_nkc_dcp_units,1,Discount Cherry Picker,Existing Customer,Non Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_3,v249,Discount Cherry Picker_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_nkc_fsloy_units,1,Kohl's Full Store Loyalist,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_3,v250,Kohl's Full Store Loyalist_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_nkc_iseth_units,1,Kohl's In-Store Enthusiast,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_3,v251,Kohl's In-Store Enthusiast_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_nkc_kids_units,1,Kohl's Kids,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Kids,m_3,v252,Kohl's Kids_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_nkc_mens_units,1,Kohl's Mens,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Mens,m_3,v253,Kohl's Mens_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_nkc_oleth_units,1,Kohl's Online Enthusiast,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_3,v254,Kohl's Online Enthusiast_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_nkc_missex_units,1,Misses Exclusive,Existing Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_3,v255,Misses Exclusive_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_nkc_ocbb_units,1,Occasional Big Basket,Existing Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_3,v256,Occasional Big Basket_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_nkc_odis_units,1,One and Done In-Store,Existing Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_3,v257,One and Done In-Store_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_nkc_odol_units,1,One and Done Online,Existing Customer,Non Loyalist,Non Kohl's Charge,One and Done Online,m_3,v258,One and Done Online_Existing Customer_Non Loyalist_Non Kohl's Charge_units
ex_nloy_kc_other_units,1,Sales - Other,Existing Customer,Non Loyalist,Kohl's Charge,Sales - Other,m_3,v259,Sales - Other_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_nloy_kc_dcp_units,1,Discount Cherry Picker,Existing Customer,Non Loyalist,Kohl's Charge,Discount Cherry Picker,m_3,v260,Discount Cherry Picker_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_nloy_kc_fsloy_units,1,Kohl's Full Store Loyalist,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_3,v261,Kohl's Full Store Loyalist_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_nloy_kc_iseth_units,1,Kohl's In-Store Enthusiast,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_3,v262,Kohl's In-Store Enthusiast_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_nloy_kc_kids_units,1,Kohl's Kids,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Kids,m_3,v263,Kohl's Kids_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_nloy_kc_mens_units,1,Kohl's Mens,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Mens,m_3,v264,Kohl's Mens_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_nloy_kc_oleth_units,1,Kohl's Online Enthusiast,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_3,v265,Kohl's Online Enthusiast_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_nloy_kc_missex_units,1,Misses Exclusive,Existing Customer,Non Loyalist,Kohl's Charge,Misses Exclusive,m_3,v266,Misses Exclusive_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_nloy_kc_ocbb_units,1,Occasional Big Basket,Existing Customer,Non Loyalist,Kohl's Charge,Occasional Big Basket,m_3,v267,Occasional Big Basket_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_nloy_kc_odis_units,1,One and Done In-Store,Existing Customer,Non Loyalist,Kohl's Charge,One and Done In-Store,m_3,v268,One and Done In-Store_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_nloy_kc_odol_units,1,One and Done Online,Existing Customer,Non Loyalist,Kohl's Charge,One and Done Online,m_3,v269,One and Done Online_Existing Customer_Non Loyalist_Kohl's Charge_units
ex_loy_nkc_other_units,1,Sales - Other,Existing Customer,Loyalist,Non Kohl's Charge,Sales - Other,m_3,v270,Sales - Other_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_nkc_dcp_units,1,Discount Cherry Picker,Existing Customer,Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_3,v271,Discount Cherry Picker_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_nkc_fsloy_units,1,Kohl's Full Store Loyalist,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_3,v272,Kohl's Full Store Loyalist_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_nkc_iseth_units,1,Kohl's In-Store Enthusiast,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_3,v273,Kohl's In-Store Enthusiast_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_nkc_kids_units,1,Kohl's Kids,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Kids,m_3,v274,Kohl's Kids_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_nkc_mens_units,1,Kohl's Mens,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Mens,m_3,v275,Kohl's Mens_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_nkc_oleth_units,1,Kohl's Online Enthusiast,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_3,v276,Kohl's Online Enthusiast_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_nkc_missex_units,1,Misses Exclusive,Existing Customer,Loyalist,Non Kohl's Charge,Misses Exclusive,m_3,v277,Misses Exclusive_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_nkc_ocbb_units,1,Occasional Big Basket,Existing Customer,Loyalist,Non Kohl's Charge,Occasional Big Basket,m_3,v278,Occasional Big Basket_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_nkc_odis_units,1,One and Done In-Store,Existing Customer,Loyalist,Non Kohl's Charge,One and Done In-Store,m_3,v279,One and Done In-Store_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_nkc_odol_units,1,One and Done Online,Existing Customer,Loyalist,Non Kohl's Charge,One and Done Online,m_3,v280,One and Done Online_Existing Customer_Loyalist_Non Kohl's Charge_units
ex_loy_kc_other_units,1,Sales - Other,Existing Customer,Loyalist,Kohl's Charge,Sales - Other,m_3,v281,Sales - Other_Existing Customer_Loyalist_Kohl's Charge_units
ex_loy_kc_dcp_units,1,Discount Cherry Picker,Existing Customer,Loyalist,Kohl's Charge,Discount Cherry Picker,m_3,v282,Discount Cherry Picker_Existing Customer_Loyalist_Kohl's Charge_units
ex_loy_kc_fsloy_units,1,Kohl's Full Store Loyalist,Existing Customer,Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_3,v283,Kohl's Full Store Loyalist_Existing Customer_Loyalist_Kohl's Charge_units
ex_loy_kc_iseth_units,1,Kohl's In-Store Enthusiast,Existing Customer,Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_3,v284,Kohl's In-Store Enthusiast_Existing Customer_Loyalist_Kohl's Charge_units
ex_loy_kc_kids_units,1,Kohl's Kids,Existing Customer,Loyalist,Kohl's Charge,Kohl's Kids,m_3,v285,Kohl's Kids_Existing Customer_Loyalist_Kohl's Charge_units
ex_loy_kc_mens_units,1,Kohl's Mens,Existing Customer,Loyalist,Kohl's Charge,Kohl's Mens,m_3,v286,Kohl's Mens_Existing Customer_Loyalist_Kohl's Charge_units
ex_loy_kc_oleth_units,1,Kohl's Online Enthusiast,Existing Customer,Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_3,v287,Kohl's Online Enthusiast_Existing Customer_Loyalist_Kohl's Charge_units
ex_loy_kc_missex_units,1,Misses Exclusive,Existing Customer,Loyalist,Kohl's Charge,Misses Exclusive,m_3,v288,Misses Exclusive_Existing Customer_Loyalist_Kohl's Charge_units
ex_loy_kc_ocbb_units,1,Occasional Big Basket,Existing Customer,Loyalist,Kohl's Charge,Occasional Big Basket,m_3,v289,Occasional Big Basket_Existing Customer_Loyalist_Kohl's Charge_units
ex_loy_kc_odis_units,1,One and Done In-Store,Existing Customer,Loyalist,Kohl's Charge,One and Done In-Store,m_3,v290,One and Done In-Store_Existing Customer_Loyalist_Kohl's Charge_units
ex_loy_kc_odol_units,1,One and Done Online,Existing Customer,Loyalist,Kohl's Charge,One and Done Online,m_3,v291,One and Done Online_Existing Customer_Loyalist_Kohl's Charge_units
new_nloy_nkc_other_units,1,Sales - Other,New Customer,Non Loyalist,Non Kohl's Charge,Sales - Other,m_3,v292,Sales - Other_New Customer_Non Loyalist_Non Kohl's Charge_units
new_nloy_nkc_dcp_units,1,Discount Cherry Picker,New Customer,Non Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_3,v293,Discount Cherry Picker_New Customer_Non Loyalist_Non Kohl's Charge_units
new_nloy_nkc_fsloy_units,1,Kohl's Full Store Loyalist,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_3,v294,Kohl's Full Store Loyalist_New Customer_Non Loyalist_Non Kohl's Charge_units
new_nloy_nkc_iseth_units,1,Kohl's In-Store Enthusiast,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_3,v295,Kohl's In-Store Enthusiast_New Customer_Non Loyalist_Non Kohl's Charge_units
new_nloy_nkc_kids_units,1,Kohl's Kids,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Kids,m_3,v296,Kohl's Kids_New Customer_Non Loyalist_Non Kohl's Charge_units
new_nloy_nkc_mens_units,1,Kohl's Mens,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Mens,m_3,v297,Kohl's Mens_New Customer_Non Loyalist_Non Kohl's Charge_units
new_nloy_nkc_oleth_units,1,Kohl's Online Enthusiast,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_3,v298,Kohl's Online Enthusiast_New Customer_Non Loyalist_Non Kohl's Charge_units
new_nloy_nkc_missex_units,1,Misses Exclusive,New Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_3,v299,Misses Exclusive_New Customer_Non Loyalist_Non Kohl's Charge_units
new_nloy_nkc_ocbb_units,1,Occasional Big Basket,New Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_3,v300,Occasional Big Basket_New Customer_Non Loyalist_Non Kohl's Charge_units
new_nloy_nkc_odis_units,1,One and Done In-Store,New Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_3,v301,One and Done In-Store_New Customer_Non Loyalist_Non Kohl's Charge_units
