variable,type,var,f_1,f_2,f_3,f_4,metric,export_1,export_2
psch_spd_mo_pla_nbr,2,Search,Mobile,PLA,Non-Brand,,m_1,v55,Search_Mobile_PLA_Non-Brand_spend
psch_spd_mo_reg_br,2,Search,Mobile,Regular,Brand,,m_1,v56,Search_Mobile_Regular_Brand_spend
psch_spd_mo_reg_nbr,2,Search,Mobile,Regular,Non-Brand,,m_1,v57,Search_Mobile_Regular_Non-Brand_spend
psch_spd_tblt_pla_br,2,Search,Tablet,PLA,Brand,,m_1,v58,Search_Tablet_PLA_Brand_spend
psch_spd_tblt_pla_nbr,2,Search,Tablet,PLA,Non-Brand,,m_1,v59,Search_Tablet_PLA_Non-Brand_spend
psch_spd_tblt_reg_br,2,Search,Tablet,Regular,Brand,,m_1,v60,Search_Tablet_Regular_Brand_spend
psch_spd_tblt_reg_nbr,2,Search,Tablet,Regular,Non-Brand,,m_1,v61,Search_Tablet_Regular_Non-Brand_spend
Tab_Circ_Midweek,2,Tab,Midweek,,,,m_2,v62,Tab_Midweek_circ
Tab_Circ_Other,2,Tab,Other,,,,m_2,v63,Tab_Other_circ
Tab_Circ_ROP,2,Tab,ROP,,,,m_2,v64,Tab_ROP_circ
Tab_Circ_Sunday,2,Tab,Sunday,,,,m_2,v65,Tab_Sunday_circ
Tab_Circ_Weekend,2,Tab,Weekend,,,,m_2,v66,Tab_Weekend_circ
Tab_Spend_Midweek,2,Tab,Midweek,,,,m_1,v67,Tab_Midweek_spend
Tab_Spend_Other,2,Tab,Other,,,,m_1,v68,Tab_Other_spend
Tab_Spend_ROP,2,Tab,ROP,,,,m_1,v69,Tab_ROP_spend
Tab_Spend_Sunday,2,Tab,Sunday,,,,m_1,v70,Tab_Sunday_spend
Tab_Spend_Weekend,2,Tab,Weekend,,,,m_1,v71,Tab_Weekend_spend
ex_nloy_nkc_other_reg,1,Sales - Other,Existing Customer,Non Loyalist,Non Kohl's Charge,Sales - Other,m_2,v72,Sales - Other_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_nkc_dcp_reg,1,Discount Cherry Picker,Existing Customer,Non Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_2,v73,Discount Cherry Picker_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_nkc_fsloy_reg,1,Kohl's Full Store Loyalist,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_2,v74,Kohl's Full Store Loyalist_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_nkc_iseth_reg,1,Kohl's In-Store Enthusiast,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_2,v75,Kohl's In-Store Enthusiast_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_nkc_kids_reg,1,Kohl's Kids,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Kids,m_2,v76,Kohl's Kids_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_nkc_mens_reg,1,Kohl's Mens,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Mens,m_2,v77,Kohl's Mens_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_nkc_oleth_reg,1,Kohl's Online Enthusiast,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_2,v78,Kohl's Online Enthusiast_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_nkc_missex_reg,1,Misses Exclusive,Existing Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_2,v79,Misses Exclusive_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_nkc_ocbb_reg,1,Occasional Big Basket,Existing Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_2,v80,Occasional Big Basket_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_nkc_odis_reg,1,One and Done In-Store,Existing Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_2,v81,One and Done In-Store_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_nkc_odol_reg,1,One and Done Online,Existing Customer,Non Loyalist,Non Kohl's Charge,One and Done Online,m_2,v82,One and Done Online_Existing Customer_Non Loyalist_Non Kohl's Charge_regular
ex_nloy_kc_other_reg,1,Sales - Other,Existing Customer,Non Loyalist,Kohl's Charge,Sales - Other,m_2,v83,Sales - Other_Existing Customer_Non Loyalist_Kohl's Charge_regular
