week,dmanum,test1_imp,test1_spd,test2_clk_f11_f21_f32,test2_clk_f11_f21_f31,test2_clk_f11_f22_f32,test2_clk_f11_f22_f31,test2_clk_f12_f21_f32,test2_clk_f12_f21_f31,test2_clk_f12_f22_f32,test2_clk_f12_f22_f31
1/12/2015,543,91565.54438,2113.47752,0,530.5934178,1375.904113,839.5365401,0,499.7552525,1008.357023,336.1788976
1/12/2015,544,249572.8655,5760.536283,0,1446.195952,3750.191564,2288.25746,0,1362.142837,2748.397918,916.295877
1/12/2015,545,105003.0157,2423.6356,0,608.459321,1577.821462,962.7406148,0,573.0955784,1156.335923,385.5139867
1/12/2015,546,137649.1368,3177.159685,0,797.6332846,2068.376426,1262.062939,0,751.2747241,1515.848288,505.3727946
1/12/2015,547,145622.8525,3361.205649,0,843.8384496,2188.192983,1335.171506,0,794.7944383,1603.658089,534.6479437
1/12/2015,548,254257.7635,5868.671136,0,1473.343457,3820.588901,2331.21186,0,1387.712525,2799.989921,933.4962756
1/12/2015,549,33485.19546,772.8912478,0,194.0361347,503.1632638,307.015541,0,182.7587269,368.7525939,122.9394329
1/12/2015,550,62009.23485,1431.27117,0,359.3239365,931.7780159,568.5437556,0,338.4399779,682.8709189,227.6641979
1/12/2015,551,88983.21833,2053.873352,0,515.6296537,1337.100947,815.8599805,0,485.6611845,979.9193977,326.6980003
1/12/2015,552,9441.633725,217.9278326,0,54.71128623,141.874138,86.56745902,0,51.53145846,103.9751113,34.66454592
1/12/2015,553,28968.00666,668.6273891,0,167.8604519,435.2859996,265.5988151,0,158.1043785,319.0074733,106.3547715
1/12/2015,554,50613.72252,1168.244731,0,293.2905407,760.5440393,464.0617797,0,276.2444525,557.3789015,185.826072
1/12/2015,555,133509.6239,3081.613183,0,773.6461145,2006.174286,1224.109008,0,728.6816918,1470.262288,490.1747538
1/12/2015,556,204254.3969,4714.514386,0,1183.589737,3069.216338,1872.746248,0,1114.799332,2249.332508,749.9110989
1/12/2015,557,174499.2133,4027.717708,0,1011.167843,2622.101872,1599.930048,0,952.3986234,1921.656321,640.6662415
1/12/2015,558,13621.95146,314.4161745,0,78.93490755,204.6894295,124.8955169,0,74.34719944,150.0104707,50.01239992
1/12/2015,559,45919.31656,1059.89042,0,266.0879404,690.0038322,421.0202037,0,250.6228713,505.6821934,168.5907655
1/12/2015,560,381158.0589,8797.730569,0,2208.6906,5727.448512,3494.721952,0,2080.321187,4197.467595,1399.405168
1/12/2015,561,230136.0255,5311.903288,0,1333.565602,3458.125064,2110.047004,0,1256.058579,2534.35153,844.9343678
1/12/2015,563,261028.1985,6024.943479,0,1512.57599,3922.324433,2393.287913,0,1424.664858,2874.548705,958.353632
1/12/2015,564,164815.7878,3804.208938,0,955.0554494,2476.594464,1511.145673,0,899.5474902,1815.0185,605.1139675
1/12/2015,565,32285.08403,745.1907787,0,187.0818679,485.129862,296.0120854,0,176.208643,355.5364786,118.5332762
1/12/2015,566,239739.8222,5533.574098,0,1389.216571,3602.435933,2198.101286,0,1308.475106,2640.112445,880.1942879
1/12/2015,567,287375.9795,6633.091916,0,1665.253062,4318.237769,2634.862678,0,1568.468316,3164.701187,1055.088359
1/12/2015,569,24236.88955,559.4257267,0,140.4451221,364.1941545,222.2206457,0,132.2824316,266.906487,88.98468159
1/12/2015,570,97430.0854,2248.840397,0,564.5765812,1464.027284,893.3067275,0,531.7633096,1072.939734,357.7103039
1/12/2015,571,154084.9058,3556.523218,0,892.8733768,2315.347515,1412.757491,0,840.9794485,1696.845663,565.716003
1/12/2015,573,149538.9291,3451.594889,0,866.5308773,2247.037672,1371.076818,0,816.1679789,1646.783518,549.0256481
1/12/2015,574,102042.8817,2355.311028,0,591.3062791,1533.341188,935.6000491,0,556.9394737,1123.737723,374.645984
1/12/2015,575,126116.5518,2910.969393,0,730.8055965,1895.082736,1156.324186,0,688.3310708,1388.846772,463.0314127
1/12/2015,576,50578.46396,1167.430907,0,293.0862285,760.0142288,463.7385048,0,276.052015,556.9906199,185.6966217
1/12/2015,577,203834.9918,4704.833852,0,1181.159416,3062.914172,1868.900851,0,1112.510262,2244.713848,748.3712712
1/12/2015,581,54758.38553,1263.910105,0,317.3075541,822.8235673,502.0629304,0,298.8655937,603.0216166,201.0430212
1/12/2015,582,23564.3359,543.9021253,0,136.5478861,354.0880678,216.0542065,0,128.6117034,259.5000527,86.51543025
1/12/2015,583,5329.324068,123.0092246,0,30.88175024,80.08076569,48.86294643,0,29.0868985,58.68868455,19.56638059
